CONTRACT_ADDRESS,APP_NAME,VERTICAL
0x0412e62cdf0bfa16ce15e583dc2495b1d7645ff03965033e9409971ef40eee47,DoubleUp,Gambling
0x042453f13b73d78009dedb42b19aa4b65813cba11bfea14ac964ebf5e89ddac9,DoubleUp,Gambling
0x0427dd8fd499c0627dc5e28ebc7d595e3dbf9a4aa45e3452df20cd8670612e7e,AlphaFi,DeFi
0x042e97c99868441d8872559c7c372c64e97cc309fc030914be77ac1473b618f1,Scallop,DeFi
0x043983ed772129c7eed8adaa605ac04d4adea112965b68a72b046ce6daf0a0f6,BIRDS,GameFi
0x043ca0fb6dd5a60f20513d76aa49cb007b4554083ef8a5765b15e01ce1642036,STEAMM,DeFi
0x0440aedc27c9a57ea357bd8fe1525a00d60d7f442a380924a7e7c1d79853bb8b,NAVI Protocol,DeFi
0x04560201f5ecd809e10466b4b45dd76c577c19f3d9ffae63f64eb8cdc93a501f,Misfits,NFT
0x0463839b17193c8f7b76b5f5daad7762273fdc30c35fc83740ceae2ff68ed268,Keepsake Ob,NFT
0x04750718b379422ec13cfce770cb1ea27a89d3a8911a4457d9d588cd5781bd6a,AlphaFi,DeFi
0x04813578acf0385ebed1851f27e1afb413d41761b208de518a0be1a58d545438,Full Sail,DeFi
0x04e20ddf36af412a4096f9014f4a565af9e812db9a05cc40254846cf6ed0ad91,Pyth Network,Oracle
0x04f34dd25cd33e46553ceb731a9fa3e955c195b62cf79a5c565c4225cb31667f,Deeptrade,DeFi
0x0517b8c5ca29fbb9f09cf77530ba331f30f59b6203d13d28796e76e362cc0e12,Cetus,DeFi
0x0536abd1aa17f0db73177541f5adf6efc18607d1cf78845f601530e8ca1fef79,STEAMM,DeFi
0x05400d64123f8cd14f23c09d652e2862419eb15320eb4610973883132ec8b010,Cropz,Gaming
0x0557194165ccd4a9e38184fa59ad388e1aa7f99fee7a2bad4bee432a64cbef67,Movescriptions,Utility
0x0580e4c45e06e6a60b0500027a42c7bb7cb87163fdf03a98b0b44b1842c0f3bd,Typus Finance,DeFi
0x059f94b85c07eb74d2847f8255d8cc0a67c9a8dcc039eabf9f8b9e23a0de2700,AlphaFi,DeFi
0x05b81d86deb99c33a46042ee92a0e6665cea64dffa3ad23a114ce08f449b8bdb,Typus Finance,DeFi
0x05cf6401224b471a2489e0b13a0a23363378e89a0f14b6c58ffe9f71d1e36bc8,Sui Generis,Social
0x05f51d02fa049194239ffeac3e446a0020e7bbfc5d9149ff888366c24b2456b1,SuiRewards.Me,Memecoin
0x06007a2d0ddd3ef4844c6d19c83f71475d6d3ac2d139188d6b62c052e6965edd,NAVI Protocol,DeFi
0x0625dc2cd40aee3998a1d6620de8892964c15066e0a285d8b573910ed4c75d50,Aftermath Finance,DeFi
0x065afdc6ae87e3c3dff8191cbc3dbc7c6cf333947ae835a4576a9bf814828e26,Obric,DeFi
0x066648edaf473d6cc14b7ab46f56b673be4e44f9c940f70b6bacd7848808859b,AlphaFi,DeFi
0x067425780cf990eb2db8e7a930ddebb21ed90b813e2caa57cc662c2af9b16734,Mole,DeFi
0x0685e65f1709d5b2d5a21ba66f5201c568e71550ad3b109f6144ad8d9b3570e9,Capybara on Sui,Gaming
0x06864a6f921804860930db6ddbe2e16acdf8504495ea7481637a1c8b9a8fe54b,Cetus Protocol,DeFi
0x06873a706ef11d0035e58395fe71fc43e120bef8722b30490d2e5f1857a3dbc3,Typus Finance,DeFi
0x0697807e89307c7124aeb5847e817fbb49c7701e4f5b03f1d38a91bdee3e3f66,Bucket Protocol,DeFi
0x069fea1d4f9275f58bec2465ac54ccf6477a44fb89c6ab893421ad849fb947ae,Nemo Protocol,DeFi
0x06d1d1e6d69e0de9e7831d82c51725e2861c8357f45bb6c00b799382bffa7225,FlowX Finance,DeFi
0x06f1d8f889b1de7cd763abdcdc449846cec78114fe59dc5d2b2f7bc0cfbf5997,Weiss Finance,DeFi
0x071a7e916a27e27f051738783061356551090cfd4a23c6bc44cfd96e6a5fa153,Typus Finance,DeFi
0x073e357606f89c8ccaeea197dd0e4c22d23b8b65de00b36079e85a7f7b58710a,RaidenX,DeFi
0x07437bc0b36d323631c266c9635ad8afde38dde64c82a52f65fc5e6cb01b0736,Aftermath Finance,DeFi
0x0755429cba577decc090009348987a89f4fb8397da27a3eaafc366794078af7d,STEAMM,DeFi
0x07d45ee8fc56ddce3232304c1191f3c0319fa8240305c5ee2231a2da7cbb49e6,Cetus,DeFi
0x07df024e71ff5f360fcc5754c53970810c7ada8aca6ec784eba59dd018f69c11,CORGi Inu,
0x07e94a74f70d081c0839b0de957460cfad40d2502ee00825bcbb0ef23118cb10,STEAMM,DeFi
0x08080ec446284b2e129b116843dc4b0dced9f98eb1805c11585a9b4c601fc5e2,The OG Battlefront,Gaming
0x08153eaef0c92f3a997f827f56fc4b5b8503f9685e470eae46fa5824b70d708b,RaidenX,DeFi
0x0828b0c22f8f9cd24904d755b812de82dafebaee8c1924d0859ee9352003f6c7,AlphaFi,DeFi
0x083b02db943238dcea0ff0938a54a17d7575f5b48034506446e501e963391480,OriginByte,Utility
0x083b89937db53d8dd797dee3ba431083fee43c6bf5993005886daba19e942fb2,Typus Finance,DeFi
